"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"43","Pattern_11","UKB_IDP_0144_IDP_T1_FAST_ROIs_L_cerebellum_crus_I",0.214497226949887,0.275026529927859,0.0214470490097252,1.28219154083569,0.0999875351056913,0.00464795391530229,6.85262560933354e-09,9.30161614549047e-09,0.736713437982041,0.461296633115023,0.745090536704148
"44","Pattern_11","UKB_IDP_0145_IDP_T1_FAST_ROIs_V_cerebellum_crus_I",0.214497226949887,0.272731710388042,0.058913191906768,1.27149294313143,0.274657126082716,0.31983680874467,1.40754732277401e-09,5.71230624709697e-09,0.246406138236958,0.805367855077425,0.933395738458059
"45","Pattern_11","UKB_IDP_0146_IDP_T1_FAST_ROIs_R_cerebellum_crus_I",0.214497226949887,0.296108237962775,0.0227598880461,1.38047583259412,0.106108075939916,0.000385195578938207,1.27968904743853e-08,9.78043852129575e-09,1.30841684107738,0.190731963530082,0.517547968455222
"46","Pattern_11","UKB_IDP_0147_IDP_T1_FAST_ROIs_L_cerebellum_crus_II",0.214497226949887,0.291960691035419,0.0248184181268781,1.36113969950591,0.115705076843145,0.00179777992123152,6.95733116509736e-09,9.07071299382675e-09,0.767010395966922,0.443075334538719,0.731017545968236
"47","Pattern_11","UKB_IDP_0148_IDP_T1_FAST_ROIs_V_cerebellum_crus_II",0.214497226949887,0.286159823608537,0.0288900899345823,1.33409567889376,0.13468747519674,0.0124423887860069,6.62960692365245e-09,7.48778384273237e-09,0.885389731180225,0.375946468892865,0.680720316683238
"48","Pattern_11","UKB_IDP_0149_IDP_T1_FAST_ROIs_R_cerebellum_crus_II",0.214497226949887,0.283902176107007,0.0235122232711151,1.32357037964568,0.109615511610359,0.00314199719755029,4.28401652297551e-09,9.26041594849604e-09,0.462615993363804,0.643639642725256,0.848813508358494
"49","Pattern_11","UKB_IDP_0150_IDP_T1_FAST_ROIs_L_cerebellum_VIIb",0.214497226949887,0.269463571745908,0.0255672440760254,1.25625666857158,0.119196152041624,0.0340779172593935,-1.97935708665972e-09,9.02184538435457e-09,-0.219396032888379,0.826341560053265,0.943076860032676
"50","Pattern_11","UKB_IDP_0151_IDP_T1_FAST_ROIs_V_cerebellum_VIIb",0.214497226949887,0.292116251505034,0.0236954453579455,1.36186493251627,0.110469704876332,0.000887701126084107,7.18658981855763e-09,7.1802420461965e-09,1.00088406105536,0.316882863190313,0.641345718470515
"51","Pattern_11","UKB_IDP_0152_IDP_T1_FAST_ROIs_R_cerebellum_VIIb",0.214497226949887,0.267866653047476,0.0232995615569688,1.24881172990669,0.108624068890235,0.024480817740114,-2.34384075274868e-11,9.41596902668528e-09,-0.00248921884312292,0.998013892767669,0.998594375225919
"52","Pattern_11","UKB_IDP_0153_IDP_T1_FAST_ROIs_L_cerebellum_VIIIa",0.214497226949887,0.302855396018633,0.0266824718959223,1.4119315215641,0.12439541655313,0.00135643068776845,8.06983939383207e-09,9.41798271386077e-09,0.856854343335692,0.391525387972043,0.693333684291463
"53","Pattern_11","UKB_IDP_0154_IDP_T1_FAST_ROIs_V_cerebellum_VIIIa",0.214497226949887,0.300948676917515,0.024570422220458,1.40304227330559,0.114548903824283,0.000613304154276409,9.0957221012126e-09,9.16196098449873e-09,0.99277022862265,0.320821941500715,0.645303902980754
"54","Pattern_11","UKB_IDP_0155_IDP_T1_FAST_ROIs_R_cerebellum_VIIIa",0.214497226949887,0.269104527259065,0.0235360476939394,1.25458277986007,0.109726582616558,0.0212918385950523,1.81022624657235e-10,7.81965752051289e-09,0.0231496870780297,0.981530871733389,0.992817877567391
"55","Pattern_11","UKB_IDP_0156_IDP_T1_FAST_ROIs_L_cerebellum_VIIIb",0.214497226949887,0.325128845639631,0.0266770704460045,1.51577178998026,0.12437023464288,3.33549796497398e-05,1.41389562149924e-08,8.89189690674245e-09,1.59009448301984,0.111813509371041,0.404514822641859
"56","Pattern_11","UKB_IDP_0157_IDP_T1_FAST_ROIs_V_cerebellum_VIIIb",0.214497226949887,0.299948953174152,0.0251604963491997,1.39838149629892,0.117299867727791,0.00117599841450196,1.19403666402149e-08,1.13807406389059e-08,1.0491730739734,0.294098468861264,0.618509266047698
