cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Pattern_5	Ever Smoked	0.2176629012687378	0.26479087344122043	0.02914487348827629	1.2165181659243622	0.13389913172338236	0.1073541565860075	4.980943832642995e-09	2.7661195955312955e-09	1.8006972079912158
Pattern_5	Fasting Glucose	0.2176629012687378	0.30836702666075405	0.04285471453333676	1.416718351466005	0.19688570851321202	0.024281884858261167	-2.5033741958732405e-09	4.4130215317299185e-09	-0.5672698802563761
Pattern_5	HDL Cholesterol	0.2176629012687378	0.32975350740717907	0.026219078976597122	1.514973408353353	0.12045727050300456	6.182408783314958e-05	-1.6642522093978907e-09	3.332383551480867e-09	-0.4994179642551408
Pattern_5	Height	0.2176629012687378	0.3052070466936336	0.01794653726774681	1.4022005813329175	0.08245106154120904	2.3611086670715145e-06	-3.2046452500432907e-09	3.6835979043963365e-09	-0.8699769446112942
Pattern_5	Inflammatory Bowel Disease	0.2176629012687378	0.2951809760897715	0.026540011150351695	1.3561382043939858	0.12193171640942171	0.004620053552145704	-2.2545116869534227e-08	9.070609334060027e-09	-2.485512939563783
Pattern_5	LDL Cholesterol	0.2176629012687378	0.3896647229466371	0.040425004046579796	1.7902211202520775	0.1857229863745545	3.214039144489354e-05	1.1203814647433768e-09	3.748450929941896e-09	0.29889185844584165
Pattern_5	Systemic Lupus Erythematosus	0.2176629012687378	0.3158772012851831	0.0446503624293111	1.451222047689169	0.20513538213929927	0.009244169459877228	-3.6360297379779095e-08	1.7650866190330703e-08	-2.0599724108552575
Pattern_5	Multiple Sclerosis	0.2176629012687378	0.7004744657809853	0.25899545417358855	3.2181619453658916	1.1898925019556708	3.3432689842535954e-05	-9.536986539266529e-09	1.0192015364801176e-08	-0.9357311775846773
Pattern_5	Neuroticism	0.2176629012687378	0.24271566919117438	0.021225636598425763	1.1150989340691786	0.09751609702298097	0.1777548576182636	3.1859325906241964e-09	2.217075654133921e-09	1.436997688682279
Pattern_5	Primary Biliary Cirrhosis	0.2176629012687378	0.34818760018377015	0.04250527427158092	1.5996644267544695	0.19528028903327777	0.000684180534675301	-1.138018659904641e-08	1.9293440593588984e-08	-0.5898474429090647
Pattern_5	Rheumatoid Arthritis	0.2176629012687378	0.2965976953542347	0.034539073568517716	1.3626469812971937	0.15868149035592427	0.021970795761546348	-4.226052355284177e-09	6.529992924811754e-09	-0.6471756407616637
Pattern_5	Schizophrenia	0.2176629012687378	0.2673126558497168	0.011794445887520443	1.2281038904267791	0.05418675308824637	2.5171264517721224e-05	8.391674591166133e-09	5.687447920218453e-09	1.4754727795105353
Pattern_5	Subjective Well-Being	0.2176629012687378	0.26726985524966146	0.04355583785625494	1.2279072533342572	0.20010685147708596	0.24917531574973928	-2.3254182909592705e-10	1.180199451433052e-09	-0.19703604235162467
Pattern_5	Triglycerides	0.2176629012687378	0.30485470467395	0.030353440889098027	1.4005818304220832	0.13945160480803345	0.000436981188346759	-3.540004022987416e-09	3.693022006752996e-09	-0.9585656452938071
Pattern_5	Type 1 Diabetes	0.2176629012687378	0.37100105331153893	0.08916674400633967	1.7044753660316323	0.40965522138405125	0.05079623807207077	-1.9252769747080455e-08	1.0769841821138035e-08	-1.7876557582575563
Pattern_5	Type 2 Diabetes	0.2176629012687378	0.24461452753379323	0.03341795865202137	1.1238227833404626	0.15353079673766656	0.41426134623965405	-5.0533079668767604e-09	3.3515650678107987e-09	-1.507745744043549
Pattern_5	Ulcerative Colitis	0.2176629012687378	0.317326123787946	0.03914700116307065	1.45787877464777	0.17985150861670152	0.009053259194179653	-1.227048476273406e-08	1.0130436410667219e-08	-1.2112493741941264
Pattern_5	Years of Education (EduYears)	0.2176629012687378	0.2705124979660385	0.02430689336014564	1.242804797644638	0.11167219226824096	0.029522137590567238	2.5688244192142347e-09	2.028638200534981e-09	1.2662802162242626
Pattern_5	Years of Education (College)	0.2176629012687378	0.25417888441574976	0.01110303357766823	1.167763927312204	0.05101022504501056	0.0010297529133413584	2.0010095307425394e-09	1.2875080759996197e-09	1.5541724110654282
