,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Pattern_11,Pattern_12,Pattern_13,Pattern_14,Pattern_15,Pattern_16,Pattern_17,Pattern_18,Pattern_19,Pattern_20,Pattern_21,Pattern_22,Pattern_23,Pattern_24,Pattern_25,Pattern_26,Pattern_27,Pattern_28
CDNF,0.000479177,0.002475457,0.001393969,0.001413933,0.002221222,0.001875975,0.000661826,0.004387001,0.002330731,0.000487066,0.002644025,0.003275569,0.000987758,0.000360598,0.001109124,0.000564567,0.000165293,0.000689884,0.000721567,0.000675211,0.000818444,8.63E-05,0.003490409,0.001403855,0.000777449,0.001038019,0.00010522,0.000429309
HSPA14,0.053248998,0.050964501,0.166340545,0.039249498,0.23776795,0.092867918,0.022565395,0.060510725,0.206505045,0.013625877,0.03277301,0.198787466,0.162806824,0.110737644,0.205910847,0.106189907,0.102326229,0.147659704,0.169121236,0.047342461,0.121485256,0.017587509,0.06555105,0.074621759,0.106244668,0.112849347,0.002788509,0.024719479
HSPA14.1,0.011373568,0.047811359,0.109669939,0.063272364,0.103167221,0.136829585,0.006128191,0.081179947,0.219160914,0.006567673,0.009716949,0.160144329,0.140531927,0.171031028,0.017350838,0.083773643,0.144598857,0.054819971,0.154300898,0.165573493,0.139441848,0.008564142,0.016716778,0.055339452,0.124183431,0.014896156,0.006047761,0.010567459
AC069544.1,0.018532533,0.016844705,0.007071248,0.001864893,0.014639542,0.026159108,0.000891254,0.009659376,0.026356604,0.000859809,0.004515766,0.029689465,0.014814982,0.022132667,0.010471084,0.003990684,0.007026231,0.006137058,0.007156311,0.008826039,0.023223363,0.001484663,0.003990057,0.01000866,0.008032374,0.008220597,0.000928169,0.001091597
SUV39H2,0.02033666,0.023850786,0.019732527,0.02419853,0.10793557,0.044159278,0.000582692,0.022776635,0.048787646,0.008154581,0.004341301,0.08896073,0.001191407,0.001360163,0.018275928,0.013339453,0.005401007,0.006743512,0.009034405,0.025514795,0.108416215,7.04E-05,0.001916156,0.020878782,0.005096901,0.017600667,0.009064357,0.012003672
DCLRE1C,0.014468602,0.023166604,0.025572756,0.029434584,0.104509182,0.025820358,0.013750792,0.091889136,0.044580229,0.046749789,0.014762792,0.08483801,0.022524504,0.03127104,0.028384984,0.028669899,0.028777156,0.023339231,0.035428856,0.034725115,0.099059075,0.003124697,0.029365998,0.037867472,0.030486591,0.051219169,0.008319733,0.007296966
MEIG1,0.000942281,0.017062509,0.007283833,0.002235323,0.012096865,0.017073268,0.000287864,0.002884146,0.013237305,0.000894098,0.002356997,0.046579476,0.004956417,0.010903041,0.01832433,0.013013397,0.001670381,0.001144622,0.017061381,0.009540668,0.011474561,0.000905671,0.026420854,0.009230698,0.007105796,0.005060442,0.000988132,0.004488962
OLAH,0.000270411,0.000449536,0.00044375,0.000467551,0.001462559,0.000408584,0.000286753,0.010548494,0.00042679,0.000353084,0.000349442,0.000977755,0.000428219,0.000184464,0.000439009,0.000247022,8.63E-05,0.0002944,0.000303849,0.000304331,0.000352846,4.72E-05,0.000501624,0.000246676,0.00054594,0.000440007,5.67E-05,0.00014742
ACBD7,0.205185235,0.021665143,0.120044589,0.117802717,0.198166654,0.056657858,0.165356576,0.005341844,0.061180443,5.75E-05,0.526135266,0.281283647,0.121702157,0.024812033,0.232617617,0.083020687,0.011253095,0.142730072,0.003803973,0.015007638,0.001175484,0.019211389,0.798383892,0.568639457,0.00662212,0.000173545,0.000360179,0.006036516
RPP38-DT,0.001088807,0.013510119,0.0052133,0.001246642,0.014778656,0.017151399,0.000999131,0.010332807,0.005975325,0.001146038,0.003889692,0.014278894,0.0048504,0.008767379,0.004688388,0.006096219,0.002071952,0.001461338,0.008240593,0.005529516,0.002688705,0.000893728,0.004344339,0.003871431,0.030420763,0.003344743,0.000166033,0.004743449
RPP38,0.017544689,0.01993159,0.122316197,0.024777669,0.052346036,0.069812566,0.015645923,0.039291833,0.104800291,0.004005316,0.031487606,0.136840999,0.017936714,0.058875389,0.048651818,0.023198094,0.029060513,0.042482063,0.0753766,0.078309238,0.089533716,0.008961823,0.028230121,0.055658456,0.024543183,0.032740656,0.003503449,0.006580315
NMT2,0.176824838,0.159400165,0.075463645,0.155576989,0.351047814,0.1642223,0.017327564,0.112162359,0.165345758,0.016223295,0.108386189,0.26643306,0.090041548,0.056491967,0.052303296,0.062649705,0.066908218,0.027759116,0.141141519,0.045273107,0.277727395,0.006915385,0.227059275,0.06912709,0.63825953,0.243881628,0.027666049,0.099435829
FAM171A1,0.267788053,0.273466289,0.259384364,0.614308,0.475234836,0.107926317,0.429639548,0.237330377,0.387546659,0.063385621,0.500409663,0.236602068,0.081901811,0.121310361,0.044121109,0.19579044,0.037552826,0.145633921,0.209684148,0.034981035,0.355784029,0.052400041,0.305596709,0.351866245,0.311148643,0.548365772,0.035226572,0.175522834
ITGA8,9.64E-05,0.009537549,0.001380175,0.000316672,0.009220274,0.001055235,2.25E-05,0.872936964,0.031165211,0.000153815,2.97E-05,0.013103515,0.000313525,4.04E-05,0.000455079,2.91E-05,4.33E-05,0.000244696,0.000517056,0.001196733,0.006995874,1.57E-05,0.020136073,0.054018963,0.000792202,0.004616605,0.00012868,0.000586291
MINDY3,0.052575447,0.266002446,0.095832378,0.198528454,0.414330959,0.195337862,0.196171835,0.125052616,0.447439879,0.036543362,0.033754908,0.220120654,0.164035842,0.127913997,0.10820201,0.177737057,0.203969568,0.124343455,0.200485662,0.263667613,0.145680815,0.032058138,0.15340741,0.111179866,0.235969916,0.214965641,0.041486789,0.056889605
LINC02654,0.000253195,0.000394834,0.000329401,0.000307644,0.000750106,0.000267578,0.000206225,0.000691276,0.000342254,0.00022564,0.000238472,0.000473562,0.000330076,0.000140593,0.000229448,0.000158383,8.75E-05,0.000243689,0.000288393,0.000268931,0.000234884,4.15E-05,0.000270547,0.000213736,0.000408496,0.000228747,3.69E-05,0.000121693
PTER,0.000466502,0.005147873,0.001265477,0.000931331,0.008707225,0.001625904,0.000447101,0.0174133,0.004031998,0.001483081,0.00132542,0.00177669,0.001373684,0.000411832,0.000653854,0.000621878,0.000221879,0.000438978,0.001589887,0.001133182,0.000876879,0.000178609,0.000875232,0.001450342,0.004367685,0.001290126,0.000117365,0.000300624
C1QL3,0.000313939,0.002278912,0.000365976,0.000313068,0.000906464,0.000342504,0.000220446,0.000817546,0.000412154,0.000266957,0.000302377,0.000562393,0.00035599,0.000171358,0.000256868,0.000204946,9.09E-05,0.000288451,0.000311255,0.000408176,0.000250408,4.38E-05,0.00052022,0.000248765,0.000458141,0.000298893,4.09E-05,0.00014113
AL353576.1,0.000282562,0.003253886,0.000417105,0.000430809,0.002959925,0.000479629,0.000220209,0.000805253,0.000538258,0.000360524,0.000313674,0.000685773,0.000695125,0.0002666,0.000347016,0.000252559,9.89E-05,0.000286649,0.000407012,0.000656059,0.000256077,5.06E-05,0.00043926,0.000384279,0.00066345,0.000305655,4.79E-05,0.000144554
RSU1,0.061736204,0.112893373,0.072501637,0.147899076,0.264821231,0.076681398,0.123348132,0.429463863,0.160026267,0.013583777,0.079647362,0.342883468,0.045146625,0.016267888,0.039362043,0.004416467,0.067676395,0.070331432,0.07254608,0.073533989,0.232246384,0.003707681,0.021331638,0.236771464,0.063261285,0.135706708,0.010208196,0.043053243
AC073367.1,0.000246701,0.000441292,0.000303102,0.000350588,0.000805677,0.000264406,0.000202279,0.000722902,0.000345184,0.000256285,0.000233372,0.000482283,0.000311023,0.000142216,0.000231144,0.000157609,8.68E-05,0.000240015,0.000264749,0.000257446,0.000245481,3.98E-05,0.000262315,0.000218669,0.000438504,0.000231183,4.17E-05,0.000121211
CUBN,0.00283265,0.02192609,0.003769758,0.070298828,0.004613428,0.014875431,0.000215277,0.016435198,0.002118657,0.000536653,0.002013134,0.054569129,0.001623751,0.021133149,0.005313225,0.01838872,0.000330637,0.00215452,0.002585087,0.035870686,0.00738245,0.001036009,0.055102542,0.004542773,0.014867549,0.003782,0.000763783,0.000541993
TRDMT1,0.035938431,0.010445214,0.059486561,0.111689322,0.105333745,0.078262009,0.013537719,0.024625655,0.000575522,0.022428328,0.008027133,0.100900404,0.034355294,0.088775598,0.034670159,0.094113097,0.026638692,0.008375913,0.021124819,0.078124486,0.050120324,0.007096873,0.030388625,0.014876052,0.017479382,0.014989601,0.004103618,0.00834929
VIM-AS1,0.000592009,0.003002467,0.006794461,0.038280737,0.007966,0.022774659,0.000416856,0.015385061,0.000976506,0.000401661,0.002055438,0.006472481,0.006091088,0.006721867,0.024019932,0.033697713,0.006526281,0.000852603,0.002257843,0.00904491,0.001038126,0.003194509,0.003586478,0.000927919,0.000492002,0.001914559,0.000240522,0.000588804
VIM,0.238116249,0.054815196,0.195770815,3.347462654,1.045906782,0.379226297,0.003166014,4.228713989,0.125317037,0.234508842,0.24178502,1.113516092,0.022232525,0.046804808,0.7575019,0.143084854,0.033823747,0.072122023,0.05093471,0.294636786,1.107311726,0.12023773,1.04460454,0.89768821,0.111612052,0.127354071,0.33561188,0.031703901
AL133415.1,0.00026557,0.000424164,0.000314833,0.000311226,0.000937893,0.000270741,0.000188848,0.000700211,0.000335349,0.000242804,0.00023148,0.000610415,0.000314421,0.000145945,0.00023024,0.000159006,8.37E-05,0.00024259,0.000264198,0.00026503,0.000249957,3.99E-05,0.000263576,0.000210956,0.000399488,0.000257425,3.90E-05,0.000119309
ST8SIA6,0.001895875,0.014165451,0.001367079,0.003512677,0.023731649,0.002171749,0.001490812,0.135405526,0.002158708,0.025163224,0.002060526,0.00128538,0.009085804,0.004499104,0.00228332,0.000727395,0.001778017,0.014892977,0.001599048,0.011272498,0.000467492,0.00010475,0.016154807,0.003800941,0.02906784,0.001545304,7.03E-05,0.001405892
ST8SIA6-AS1,0.000290726,0.00046485,0.000324567,0.000720062,0.000914673,0.000286496,0.000228414,0.000725041,0.0004292,0.000271833,0.000279831,0.000544858,0.000417323,0.00016262,0.000230665,0.0001614,9.29E-05,0.000298361,0.000311605,0.000279363,0.000251311,4.53E-05,0.000308993,0.000210704,0.000671606,0.000257921,4.31E-05,0.00012958
HACD1,0.032794103,0.040003311,0.094929874,0.000617942,0.004156762,0.208110735,0.022788772,0.084504507,0.02645546,0.000347292,0.008601076,0.007290723,0.03879118,0.058307003,0.028765874,0.010955345,0.146753192,0.03116543,0.032691576,0.073461682,0.489657283,0.024456037,0.026614886,0.005026803,0.017616268,0.260843128,0.006415075,0.030644383
STAM-AS1,0.002672613,0.003894563,0.005948627,0.002063484,0.052983712,0.012295038,0.000488097,0.010285835,0.002627594,0.002608355,0.001669187,0.01202197,0.001916056,0.021445042,0.001380814,0.005592405,0.003726407,0.007388284,0.010259398,0.012657749,0.034257486,0.001993667,0.024148097,0.003625321,0.046978239,0.024218937,0.000671508,0.000985743
STAM,0.110740811,0.220509991,0.174631849,0.139519781,0.296235502,0.226417631,0.108292647,0.044822786,0.241925225,0.032715183,0.072461821,0.152328402,0.1429995,0.097236924,0.114126749,0.113695294,0.235459313,0.080486283,0.219135612,0.231595591,0.461124331,0.032464098,0.070688285,0.061914444,0.302625954,0.446548969,0.065932989,0.05720811
AC069542.1,0.000257306,0.000395964,0.000310295,0.000307739,0.000761608,0.000264551,0.000195465,0.000694935,0.000337486,0.000226434,0.000231381,0.00049748,0.000324461,0.000133532,0.000242261,0.000156123,8.39E-05,0.000241153,0.000263666,0.000283065,0.000239882,3.75E-05,0.00026527,0.000212226,0.000419645,0.000235408,3.83E-05,0.000116813
TMEM236,0.000723977,0.001084197,0.000650952,0.000492314,0.002107652,0.000628654,0.000308158,0.042217676,0.002487346,0.000295289,0.00049449,0.00110964,0.000450888,0.000403985,0.000272448,0.000314468,0.000124683,0.001339214,0.000801698,0.000557245,0.00333472,7.60E-05,0.001848107,0.000688816,0.000889567,0.002559314,9.70E-05,0.00029344
MRC1,0.00012585,0.000371455,0.000126073,0.009035425,0.003716271,0.000285858,2.13E-05,0.706154764,0.000271876,0.000132161,4.59E-05,0.008867963,0.003605517,6.44E-05,0.001047089,0.00019537,4.67E-05,0.000358394,0.00019143,0.000415943,0.001064754,4.28E-05,0.068992317,6.31E-05,0.000202198,0.009076214,0.000314635,7.78E-05
AC069023.1,0.00025156,0.000375108,0.000309472,0.000302662,0.000734636,0.000293493,0.000197263,0.000642976,0.000344508,0.00023999,0.000242989,0.000507728,0.000326901,0.000142868,0.000240486,0.000168477,8.03E-05,0.00024902,0.000269299,0.000275285,0.00022444,4.09E-05,0.000267163,0.000222722,0.000399011,0.000240665,4.14E-05,0.000121698
SLC39A12,0.063919768,0.001401318,0.028265897,1.46E-05,0.000410197,0.001054171,0.083600774,0.000856219,4.14E-05,0.000332263,0.22848779,2.33E-05,0.000170575,0.007978899,7.94E-05,0.009976884,0.015129311,5.53E-05,0.053499736,0.000208257,6.63E-05,0.00016103,0.01198447,5.38E-06,0.033461701,4.96E-05,2.67E-06,7.95E-06
SLC39A12-AS1,0.000531274,0.002639233,0.001175472,0.000784724,0.004568694,0.000914253,0.000320417,0.001362249,0.0020569,0.000391733,0.000782103,0.002673466,0.000459513,0.000281997,0.00079646,0.00029474,0.00013394,0.000328287,0.00051159,0.001106041,0.000344414,7.05E-05,0.001775723,0.004201323,0.000499523,0.000483074,6.63E-05,0.000405128
CACNB2,0.293414921,0.056947783,0.065030232,0.010318266,0.018812716,0.132331595,3.82E-05,0.038562495,1.401905775,0.014486099,0.011121972,0.214500308,0.100457318,0.152774051,0.064988278,0.116446935,0.132270023,0.006733215,0.145976529,0.116263352,0.030846018,0.05359428,0.015111038,0.303857923,0.483025402,0.004056104,0.000932041,0.019025929
AL390783.1,0.00037771,0.001917471,0.000924924,0.000375229,0.00094485,0.000526266,0.000278643,0.001094708,0.019747678,0.000334897,0.00038635,0.000929237,0.0005476,0.000239107,0.000307158,0.000234564,0.000105663,0.000320168,0.00053434,0.00049928,0.000303386,6.01E-05,0.000301061,0.001211872,0.000499848,0.000308206,5.48E-05,0.000478275
AL450384.2,0.008087372,0.004841234,0.001002249,0.003546029,0.021910479,0.007089202,0.000491076,0.010209577,0.000772844,0.007773665,0.004896659,0.00263598,0.002793164,0.003403642,0.002300279,0.000615878,0.001442325,0.002250321,0.001306822,0.002853774,0.006821717,0.000168343,0.01321593,0.001861321,0.004862527,0.01147751,0.001206827,0.000977932
AL450384.1,0.000297174,0.000511198,0.000434663,0.000376259,0.001541792,0.000427757,0.000241874,0.000858718,0.000393082,0.00026107,0.000307156,0.000555974,0.000395908,0.000223792,0.000313368,0.000225996,0.000110507,0.000404019,0.000360974,0.000327733,0.000274836,5.11E-05,0.000304041,0.000236728,0.000431236,0.000307627,4.24E-05,0.000128976
NSUN6,0.040486291,0.047075484,0.052924149,0.025464233,0.077241242,0.07638894,0.010646595,0.06019501,0.031848565,0.008570199,0.019957878,0.101494744,0.030877646,0.113274723,0.024990272,0.033174973,0.01739808,0.01130626,0.033945888,0.011115463,0.150621995,0.006842873,0.042644572,0.043965027,0.004782332,0.054489527,0.002550138,0.006162941
ARL5B,0.294320971,0.098566063,0.093481764,0.285021365,0.263577223,0.077809237,0.044651609,0.180799723,0.116106674,0.020771882,0.053013116,0.22978358,0.083107717,0.027608205,0.120443977,0.134304762,0.170834824,0.133722052,0.18943654,0.106886417,0.265102118,0.013523171,0.28475076,0.065837048,0.309081376,0.373693526,0.040667601,0.045265283
MALRD1,0.000702689,0.001941217,0.000760208,0.000720251,0.002713751,0.000734968,0.00036687,0.003410805,0.00604231,0.000557326,0.001028669,0.00620149,0.000934332,0.000304608,0.001321053,0.00063299,0.000137298,0.00047291,0.000782524,0.000525956,0.000455779,8.88E-05,0.001124191,0.002258396,0.000512085,0.000583667,8.41E-05,0.000352144
AL157895.1,0.013344477,0.004311646,0.001679155,0.07859318,0.14091751,0.000961779,0.000188578,0.013738212,0.010108928,0.000324158,0.00166317,0.037435424,1.27E-05,1.37E-05,0.024432011,2.92E-05,0.000157994,0.022720495,0.006999806,0.003459397,0.219783351,5.30E-06,2.55E-05,0.01490597,9.14E-05,0.436574817,0.010393245,0.018891798
AL353147.1,0.002352697,0.011990269,0.001137273,0.005102997,0.0798916,0.003430173,0.001105927,0.001974039,0.088476613,0.00040977,0.000638614,0.008910637,0.004763866,0.001899774,0.001528799,0.001524659,0.000717627,0.00142147,0.009002739,0.001334423,0.002200601,0.00016534,0.000243315,0.002790633,0.000634518,0.002107559,0.000530839,0.000849421
PLXDC2,0.254956335,0.050545868,0.136083722,0.437521279,0.365500897,0.113199145,0.018696146,0.320762783,1.476119518,0.132968441,0.233068287,0.294030726,0.139951557,0.15798901,0.099744067,0.104645558,0.156042755,0.073411122,0.1930231,0.136388019,0.257601947,0.024530977,0.43926546,0.092191398,0.019455006,0.325469762,0.062359329,0.018856172
AC069549.2,0.000477172,0.000983812,0.000517689,0.000373163,0.000898051,0.000446452,0.0002917,0.000953542,0.000872693,0.00037424,0.000624283,0.002081952,0.000347737,0.0001927,0.000277713,0.000212385,0.000110166,0.000633541,0.000473898,0.000474433,0.000258942,5.80E-05,0.000727569,0.001976188,0.00092909,0.0003055,5.35E-05,0.000213194
NEBL,0.634728074,0.231576324,0.093680918,0.132525519,0.214545622,0.417619944,0.186937511,0.252643883,0.079721488,0.295996755,0.538721561,0.249655962,0.147599965,0.045138288,0.108918302,0.493836701,0.967050135,0.372900575,0.104589179,0.708782077,0.000624654,0.219539985,0.437922716,0.672978461,1.042568922,3.24E-06,0.029169491,0.086385384
C10orf113,0.000295798,0.000588938,0.000376107,0.000390676,0.000800913,0.00039416,0.000250905,0.000912688,0.000412513,0.000392151,0.000346292,0.000542302,0.000438138,0.000219697,0.000392267,0.000279256,0.00010395,0.000308503,0.000383819,0.00044425,0.000285683,6.52E-05,0.00031846,0.000298229,0.000648974,0.000291657,5.14E-05,0.000164839
NEBL-AS1,0.009724585,0.007671581,0.014979509,0.000982475,0.004802177,0.028466396,0.004741689,0.007294502,0.015308459,0.001074719,0.025481967,0.014082744,0.029546412,0.021822618,0.00180159,0.03916594,0.020768646,0.010919584,0.005188656,0.027333951,0.000832384,0.001331242,0.009871301,0.053886618,0.003297588,0.00020699,3.82E-05,0.00277618
MIR1915HG,0.031586714,0.034052864,0.037058238,0.03345361,0.055424709,0.044694629,0.002755579,0.06412109,0.01156688,0.000277053,0.021749103,0.165347472,0.036428552,0.030801371,0.079220891,0.011782323,0.040868178,0.028396301,0.041414261,0.039009925,0.176643834,0.000219976,0.081501819,0.079882406,0.000578087,0.065740578,0.002684602,0.007714546
SKIDA1,0.100129649,0.011850266,0.058666993,0.141856462,0.260700047,0.058977682,0.006088643,0.018288555,0.002678405,0.000205832,0.016381834,0.131699279,0.054816969,0.039175656,0.053873915,0.072898328,0.088218145,0.08755713,0.03191014,0.059114657,0.140749678,0.011829675,0.060503535,0.021893427,0.003531217,0.192005739,0.005118655,0.006885083
MLLT10,0.255410105,0.081216246,0.024104938,0.181566909,0.323008835,0.149926171,0.00619349,0.095582113,0.047063019,0.056677289,0.031497601,0.197907358,0.185101822,0.25933364,0.114015907,0.068773143,0.103462324,0.040334847,0.25834775,0.223643616,0.451389521,0.038149536,0.200251698,0.11005459,0.495246202,0.264797211,0.039298836,0.024575977
AL358780.1,0.007821329,0.002842198,0.00889659,0.001641318,0.017133266,0.004222592,0.001091634,0.00952027,0.008564212,0.000467178,0.002192718,0.030132024,0.003188428,0.001284757,0.002312167,0.001641224,0.000627034,0.006039505,0.001367216,0.006419985,0.033960275,0.000145509,0.001365856,0.015271519,0.000819659,0.008777549,0.000127771,0.001535928
DNAJC1,0.03460307,0.01924761,0.029109636,0.087378152,0.058176134,0.059448909,0.044207606,0.245369822,0.023972895,0.011084808,0.045044918,0.141179532,0.045707103,0.027291317,0.102763481,0.017318899,0.009773887,0.003774153,0.024340209,0.055992849,0.064954676,0.002562095,0.070505291,0.125381067,0.009813395,0.031948131,0.002573911,0.019392241
AL359697.1,0.002898149,0.00449045,0.003292909,0.000952942,0.001811019,0.006655196,0.00084663,0.003813474,0.004461642,0.00070567,0.001762204,0.001566059,0.002359222,0.013026197,0.004613287,0.004492196,0.012602752,0.003082408,0.005562641,0.008385642,0.002561913,0.00151947,0.000496847,0.000922305,0.000873519,0.001192902,0.000169241,0.000576686
EBLN1,0.00027169,0.000422627,0.000302165,0.000307935,0.000733663,0.000275395,0.000225761,0.000682578,0.000355167,0.000245009,0.000252516,0.000473861,0.000313372,0.000148326,0.0002354,0.000152866,8.47E-05,0.000243024,0.000284859,0.000282047,0.00022119,4.23E-05,0.000268688,0.000216449,0.000449461,0.000236246,4.11E-05,0.000116553
AL157831.3,0.000249604,0.000418566,0.000306897,0.00030622,0.000754213,0.000253897,0.000198015,0.000670521,0.000341901,0.000217332,0.00024073,0.000496072,0.000323226,0.000144331,0.000236888,0.000154316,8.43E-05,0.000240036,0.000259385,0.000259292,0.000255689,3.92E-05,0.000270197,0.00020625,0.000426987,0.000249235,3.80E-05,0.000120149
AL158211.1,0.004329218,0.005359565,0.004308593,0.002281485,0.001919335,0.00997252,0.000781325,0.002944045,0.001694986,0.000633725,0.005335225,0.003051867,0.003684184,0.005469695,0.00291732,0.001492498,0.004432988,0.00144996,0.002632807,0.004493989,0.000715606,0.000702206,0.004568079,0.000880959,0.001016026,0.001232684,0.000138984,0.000475301
COMMD3,0.236415192,0.164395943,0.345212638,0.162330478,0.250790417,0.23751086,0.072712272,0.197823644,0.253944546,0.03596735,0.108337238,0.285257995,0.145484418,0.473445475,0.279299945,0.227432877,0.174184591,0.028585121,0.23632212,0.275748432,0.663948774,0.121982694,0.117746174,0.083150998,0.698199034,0.473365813,0.074941918,0.07080625
BMI1,0.359571844,0.150886729,0.196952313,0.269493163,0.280233651,0.267438978,0.145503536,0.229970515,0.116943009,0.068907067,0.125638545,0.262467474,0.085642643,0.32170403,0.271233559,0.327911437,0.365284175,0.166359901,0.325994313,0.201874524,0.630042911,0.118489087,0.322805345,0.065023281,0.594498515,0.494844228,0.118384577,0.095094614
AL158211.4,0.001313193,0.002728806,0.002225566,0.000594219,0.006364719,0.004168084,0.000532792,0.002338429,0.000717029,0.000425904,0.000924043,0.001940549,0.001938301,0.002082515,0.001401302,0.001611804,0.000852582,0.001089665,0.004169683,0.00182441,0.000580097,0.00044024,0.000531434,0.000634447,0.003122809,0.000738223,9.67E-05,0.000261583
AL158211.2,0.000398613,0.000989356,0.001085082,0.001127436,0.002209046,0.000703648,0.000286635,0.00168376,0.000505971,0.000276714,0.00074701,0.001203489,0.000545604,0.000320184,0.002841891,0.000731263,0.000138041,0.000496137,0.001224522,0.000401291,0.000996611,8.17E-05,0.000559398,0.000411845,0.000470847,0.002146673,8.13E-05,0.000294183
AL158211.3,0.000232845,0.000410882,0.00030754,0.000320613,0.000729069,0.000256652,0.000196589,0.000680022,0.000313996,0.000235765,0.00022682,0.000467113,0.000291594,0.000141576,0.000232688,0.000160136,8.16E-05,0.000227715,0.000262505,0.000252561,0.00024576,4.37E-05,0.000272758,0.000205934,0.000409075,0.00024501,4.24E-05,0.00011642
SPAG6,0.000258304,0.000456922,0.000373214,0.000322931,0.000725763,0.000301811,0.00022654,0.00087228,0.000477851,0.000303693,0.000282537,0.000458021,0.000844949,0.000194525,0.000261856,0.000165155,9.21E-05,0.000267483,0.000301208,0.000267319,0.001607678,4.31E-05,0.000329199,0.000225333,0.000480445,0.000672775,5.22E-05,0.000173105
AL513128.1,0.000236469,0.000387097,0.000277462,0.000281135,0.00066927,0.00024991,0.000185628,0.000644486,0.000319375,0.000231375,0.000215941,0.000460592,0.000305569,0.000138039,0.000221701,0.000155172,7.86E-05,0.000231877,0.000255828,0.000250056,0.000247739,4.00E-05,0.000267033,0.000201139,0.000410467,0.00023239,3.97E-05,0.000110473
AL513128.3,0.00024719,0.000421122,0.00030324,0.000304254,0.001637595,0.000265334,0.000193656,0.000678793,0.000358807,0.0002449,0.000224297,0.000575378,0.000363025,0.000141042,0.000228398,0.000160714,8.42E-05,0.000247265,0.000269413,0.000256551,0.000233772,4.37E-05,0.000256478,0.00020471,0.000419213,0.000239202,4.01E-05,0.000125099
AL513128.2,0.00025699,0.001946451,0.000611305,0.005810186,0.093163572,0.000616873,0.000266673,0.003531351,0.000467653,0.000287405,0.000483515,0.006853099,0.000590396,0.00023863,0.001066432,0.000241573,0.000131208,0.000350445,0.000344832,0.000352142,0.000304015,6.01E-05,0.002997173,0.000266646,0.0004527,0.000613108,6.47E-05,0.000196923
PIP4K2A,0.089866064,0.114723071,0.059027493,0.058911171,0.234959945,0.10774488,0.834932446,0.2378916,0.11809326,0.085855722,0.09713544,0.266259998,0.061774164,0.063645199,0.034292329,0.00950007,0.031132301,0.040993627,0.056048002,0.140515074,0.187487274,0.000920245,0.323857695,0.076611482,0.159164891,0.14238438,0.003118441,0.01698323
ARMC3,0.000253471,0.002879651,0.000744098,0.025093688,0.003035991,0.000892997,0.001249201,0.001461381,0.00033332,0.000368892,0.017142892,0.008732657,0.001027256,0.00024284,0.004879753,0.000781247,0.000148757,0.000309771,0.001022945,0.000304967,0.003371798,8.10E-05,0.022235775,0.000302579,0.000490584,0.001713843,0.000217885,0.000193742
AL139815.1,0.000255735,0.000478816,0.000325029,0.000356675,0.000806936,0.000258014,0.000198104,0.000711681,0.000363053,0.000231496,0.000258046,0.000481339,0.000319863,0.000142762,0.000264611,0.000166533,8.88E-05,0.000253888,0.000276383,0.000264599,0.000243491,4.08E-05,0.000266124,0.000211224,0.000441441,0.000240629,3.89E-05,0.000119999
MSRB2,0.08535111,0.178690448,0.195388511,0.049155612,0.281674504,0.105089575,0.160983905,0.270683795,0.72841984,0.057826143,0.150288254,0.247755274,0.213009208,0.030411083,0.163671806,0.134863183,0.057121158,0.064158805,0.125921473,0.312016547,0.246295691,0.011188996,0.254116029,0.248127639,0.234214574,0.037940234,0.007342896,0.183234543
PTF1A,0.0001211,0.00796422,0.002544566,0.416205287,0.026169578,0.005808379,0.002475727,0.000917628,0.003175286,0.000173873,0.020022165,0.10735748,0.021203808,0.000992048,0.012540202,0.03573221,0.000851851,0.000257955,0.002924812,0.006324998,7.39E-05,0.000714153,0.000234113,0.000424449,0.000188125,7.50E-05,1.86E-05,3.76E-05
C10orf67,0.000282383,0.00095976,0.000817237,0.014748442,0.038350448,0.000552807,0.000340263,0.001308357,0.000650057,0.000270372,0.000638167,0.031214058,0.000655404,0.000243229,0.00065282,0.00041486,0.000150748,0.000328201,0.000589211,0.000526453,0.000357745,6.20E-05,0.001857746,0.000417283,0.000448319,0.00094702,8.05E-05,0.000228562
AL606469.1,0.00032033,0.001411449,0.00050481,0.002038782,0.003076252,0.000661713,0.000406096,0.001261707,0.000671207,0.000284935,0.000551842,0.007535539,0.000697612,0.000237929,0.000389645,0.000315645,0.000108742,0.000382697,0.000535225,0.000509963,0.000553154,5.12E-05,0.000535248,0.000622391,0.000470003,0.000473201,7.19E-05,0.000206512
OTUD1,0.250977695,0.033981238,0.03327512,0.113668188,0.108284287,0.111540519,0.005854071,0.094666459,0.045268379,0.039788794,0.033079505,0.15145053,0.0453774,0.051433824,0.197747514,0.08083076,0.091972359,0.032647431,0.130614743,0.063753031,0.035794992,0.007095125,0.268143862,0.032593731,0.394996852,0.22980088,0.013398226,0.012941554
AL512603.2,0.000240865,0.000393203,0.000296165,0.000299169,0.000726225,0.000250499,0.000197725,0.000713654,0.000332297,0.000258877,0.00023833,0.000476607,0.000306588,0.000142399,0.000227627,0.000162235,8.51E-05,0.000233344,0.000269373,0.000254638,0.000255472,4.12E-05,0.000272682,0.000212497,0.000444731,0.000233071,3.68E-05,0.000117151
