,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Pattern_11,Pattern_12,Pattern_13,Pattern_14,Pattern_15,Pattern_16,Pattern_17,Pattern_18,Pattern_19,Pattern_20,Pattern_21,Pattern_22,Pattern_23,Pattern_24,Pattern_25,Pattern_26,Pattern_27,Pattern_28
AC104850.2,0.000305738,0.000957984,0.000471256,0.00034708,0.000921087,0.000492675,0.000271015,0.001552934,0.00072202,0.000296191,0.000354651,0.000561202,0.002236238,0.00030338,0.000324965,0.000196773,0.000183899,0.0007002,0.000357184,0.000470699,0.000403438,5.35E-05,0.000375367,0.000313961,0.000753278,0.000330243,5.18E-05,0.000216957
SLC25A38,0.095825195,0.154755324,0.191797867,0.049781047,0.208410144,0.119565047,0.037437238,0.115420066,0.345255494,0.010400984,0.053103369,0.266956985,0.045993838,0.236355662,0.167055026,0.127986759,0.129296824,0.117588647,0.190324739,0.13443324,0.267629176,0.040057138,0.083143547,0.108154573,0.208786085,0.128891006,0.009145138,0.02152724
RPSA,0.723130405,0.149016857,1.035526276,1.752460361,0.935271502,0.2088857,1.230109453,1.048228025,0.672775269,0.62436235,0.474915385,0.644953609,0.687496006,0.377623558,1.205789924,0.804809332,0.665675402,0.686545134,0.678224742,0.993902445,3.571874142,0.644018471,1.531237245,0.326713502,1.072015643,0.985475242,1.3180269,0.818935215
AC099332.2,0.001149072,0.003356246,0.001085599,0.000812723,0.002419067,0.003527236,0.00044579,0.002646177,0.002391261,0.000401905,0.001071992,0.002330038,0.000431093,0.000604154,0.000985215,0.000830329,0.000269957,0.000662567,0.002904843,0.000991873,0.000777504,0.000167015,0.000999084,0.000947362,0.000603803,0.001166605,0.000129621,0.000377921
AC099332.1,0.000273911,0.000628909,0.000348304,0.000327721,0.000832785,0.000334083,0.0002197,0.000758023,0.000427937,0.000253696,0.000286413,0.000594851,0.000416612,0.000166813,0.00028116,0.000215729,9.38E-05,0.000250523,0.000339526,0.000431433,0.000261035,4.59E-05,0.000286367,0.00024136,0.000451246,0.000255387,4.53E-05,0.000141626
MOBP,0.177206412,2.52E-06,3.83E-05,8.11E-07,3.83E-06,1.15E-05,8.175427437,3.12E-05,1.62E-06,0.205590218,0.279301792,1.09E-06,0.533467114,0.000575483,0.044009708,0.00955701,0.462027937,0.841610491,1.76E-05,0.227223769,0.0019045,0.011249773,0.388573527,5.61E-07,0.00359226,6.70E-05,7.86E-07,1.22E-05
AC092058.1,0.000248359,0.000452321,0.000313064,0.000322132,0.000759049,0.000300302,0.00021829,0.000754259,0.000355597,0.000265722,0.000274499,0.000500352,0.000333805,0.00016352,0.00031495,0.000220068,8.68E-05,0.000248468,0.000304016,0.000291144,0.000238323,4.92E-05,0.000296521,0.000220817,0.000443776,0.000266548,4.32E-05,0.0001232
MYRIP,0.280016452,0.137785092,0.030171469,0.090572044,0.068010747,0.056755524,0.010869469,0.275182098,0.011384969,0.045346901,0.074813738,0.043402642,0.04104523,0.138582274,0.027734362,0.342620641,0.157302901,0.046398882,0.223705485,0.194151402,0.011683808,0.010630329,0.149070069,0.031225467,0.547225058,0.030795855,0.008365595,0.001643138
EIF1B-AS1,0.003499595,0.006095181,0.002339898,0.002951596,0.01294479,0.005582546,0.000510901,0.013446181,0.025121501,0.001225906,0.010357955,0.01661752,0.013473992,0.001530483,0.009833286,0.001515566,0.000655698,0.00116786,0.003192554,0.002792048,0.004388761,0.000308621,0.002002136,0.007584893,0.001755949,0.003479718,0.000414837,0.003465404
EIF1B,0.285930306,0.353095353,0.372067362,0.446665049,0.251554608,0.469085634,0.083209753,0.232184991,0.446759671,0.221002206,0.253782928,0.651900351,0.181172401,0.194877177,0.599103153,0.254656404,0.386236787,0.023055857,0.609073102,0.515232146,0.555494964,0.200845405,0.174730167,0.277610809,0.552468657,0.386996955,0.165640935,0.149959877
