"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"221","Pattern_13","UKB_IDP_0163_IDP_T1_FAST_ROIs_V_cerebellum_X",0.177337868533264,0.310410359072061,0.0313926789146941,1.75038959044348,0.177021857623182,3.69603068764654e-06,2.1120583935484e-08,8.44429453698985e-09,2.50116618303237,0.0123785077851518,0.157734372801881
"222","Pattern_13","UKB_IDP_0164_IDP_T1_FAST_ROIs_R_cerebellum_X",0.177337868533264,0.260344974895066,0.032946663257988,1.46807321554241,0.185784703123394,0.0131081584335177,5.41069649790706e-09,1.01544450667347e-08,0.532840195830314,0.594144206386038,0.829074669632452
"223","Pattern_13","UKB_IDP_0193_aseg_lh_volume_Cerebellum-White-Matter",0.177337868533264,0.314824316447731,0.0267371782603697,1.77527969097405,0.15076970576848,1.54262682224137e-07,1.11212200464401e-08,8.6308297618655e-09,1.28854587024508,0.197556012137585,0.537649653995869
"224","Pattern_13","UKB_IDP_0194_aseg_lh_volume_Cerebellum-Cortex",0.177337868533264,0.306211775805317,0.0263838959306756,1.72671397450499,0.148777563127904,2.87594001824708e-06,2.79843023980626e-08,1.23596495275767e-08,2.26416633704898,0.0235638861699042,0.210688864577967
"225","Pattern_13","UKB_IDP_0210_aseg_rh_volume_Cerebellum-White-Matter",0.177337868533264,0.338224442562735,0.0304882183879633,1.90723191476327,0.171921646742046,6.17667833741383e-09,1.74175191919298e-08,8.43006166900582e-09,2.06612002092078,0.0388171482423416,0.265111974303851
"226","Pattern_13","UKB_IDP_0211_aseg_rh_volume_Cerebellum-Cortex",0.177337868533264,0.295911509267526,0.0251151687254979,1.66863125013832,0.141623269374002,6.39023633374505e-06,2.21737895624698e-08,1.2089809989283e-08,1.83408916948452,0.0666407588473503,0.343534901775246
"227","Pattern_13","UKB_IDP_0434_Volume_of_V1_in_the_right_hemisphere",0.177337868533264,0.208818026077472,0.0267809795891721,1.17751514554999,0.151016699426206,0.237842513766937,-7.63183163566203e-09,8.71454077825942e-09,-0.87575832506304,0.3811614303579,0.697430373002245
"228","Pattern_13","UKB_IDP_0442_Volume_of_entorhinal_in_the_left_hemisphere_DKT_parcellation",0.177337868533264,0.229547034591818,0.035592191183036,1.29440506131244,0.200702712158513,0.126645288948413,1.03533185890982e-09,7.02354705332074e-09,0.147408688380655,0.882809448102998,0.960300915669594
"229","Pattern_6","Demontis 2023 -  Attention Deficit Hyperactivity Disorder",0.224797966849656,0.243493292689304,0.0129138700212726,1.08316501301878,0.0574465605817038,0.146187694092516,1.27798258054418e-09,1.37147509920358e-09,0.931830684557316,0.35142403420422,0.674241328330353
"230","Pattern_6","Grove 2019  - Autism Spectrum Disorder",0.224797966849656,0.223299359382724,0.0259180299538075,0.993333536384098,0.115294770308761,0.953657449404232,-1.87162381901844e-09,4.55203664095228e-09,-0.411161852736514,0.680953858146567,0.879985271490153
"231","Pattern_6","Chambers_total_cerebellar_volume",0.224797966849656,0.328918045248732,0.0215649235576958,1.46317179758441,0.0959302428750094,8.63808804322214e-07,1.64781937814432e-08,8.79354473201326e-09,1.87389662344625,0.0609446749543543,0.327172837203131
"232","Pattern_6","Davies reaction time",0.224797966849656,0.255703362725545,0.0126821974175651,1.13748076243304,0.0564159791803051,0.0149141364033884,1.20868660354111e-09,1.10874958216572e-09,1.09013488977393,0.275653729279981,0.61039660344204
"233","Pattern_6","Gui_age_onset_walking",0.224797966849656,0.233544372661985,0.0190244226082108,1.038907851058,0.0846289798560956,0.645076527493677,2.2531872967382e-09,4.35133357860422e-09,0.517815344660603,0.604587111160316,0.835381515663596
"234","Pattern_6","Huang_neurodev_disorders",0.224797966849656,0.250355359810689,0.127226471705923,1.11369049871401,0.565959174315003,0.839579312113785,1.10033884783197e-09,5.31878740959402e-09,0.206877764252653,0.836105322414628,0.94794028674754
"235","Pattern_6","Lee_cognitive_performance",0.224797966849656,0.265869231206597,0.00976940163286145,1.18270300631504,0.0434585853678791,2.60544173487391e-05,7.20227250022824e-10,4.06559427323878e-10,1.77151776989559,0.0764746403591517,0.36663455717695
"236","Pattern_6","Lee_educ_attainment",0.224797966849656,0.263973183187599,0.00835894590773455,1.17426855272291,0.0371842593813358,5.10056246659464e-06,1.93182087853126e-09,6.0151351226249e-10,3.21160013723557,0.00131997958969714,0.0561783313375104
"237","Pattern_6","Alzheimer's Disease",0.224797966849656,0.280080193081495,0.0519453341507325,1.24591960063772,0.231075640401469,0.2693996533074,-8.67510230104135e-09,5.61332702738948e-09,-1.54544751423039,0.122238054992094,0.432097310669727
"238","Pattern_6","Anorexia Nervosa",0.224797966849656,0.23220970787834,0.0254501200032114,1.03297067643695,0.113213301525241,0.769786609445267,2.20206932174173e-09,6.32031049572953e-09,0.348411573012056,0.727531112365856,0.903636929502467
"239","Pattern_6","Autism Spectrum Disorder",0.224797966849656,0.250772050481986,0.0233172786532385,1.11554412166771,0.103725487289807,0.261794683595743,3.47314188119717e-08,1.53974125084126e-08,2.25566593042797,0.024091560780666,0.211846451823377
